country,iso3,year,population,life_expectancy,inflation_rate,NY.GDP.PCAP.CD
Czechia,CZE,2012,10510785,78.0756097560976,3.28762306610411,20014.0354015165
Czechia,CZE,2013,10514272,78.1756097560976,1.4382978723404,20260.4954999375
Czechia,CZE,2014,10525347,78.8243902439024,0.343988589646793,20038.4163180257
Czechia,CZE,2015,10546059,78.5780487804878,0.309364548494975,17931.5987670768
Czechia,CZE,2016,10566332,79.0268292682927,0.683504209385702,18753.9686718096
Czechia,CZE,2017,10594438,78.9780487804878,2.4505339846014,20913.197632212
Czechia,CZE,2018,10629928,79.0292682926829,2.14949494949492,23705.9329811299
Czechia,CZE,2019,10671870,79.2292682926829,2.84787595918041,24062.7190013343
Czechia,CZE,2020,10697858,78.2268292682927,3.1612952849781,23472.8915454417
Czechia,CZE,2021,10505772,77.2219512195122,3.83984491500146,27696.4619527544
Czechia,CZE,2022,10672118,78.9292682926829,15.100165146837,28282.2236715857
Czechia,CZE,2023,10864042,79.8268292682927,10.6612601372427,31761.5944102491
Czechia,CZE,2024,10905028,79.9780487804878,2.43531202435314,31823.3078290564
Germany,DEU,1960,72814900,69.0640731707317,1.53661234295201,1162.12266831735
Germany,DEU,1961,73377632,69.6448780487805,2.29369500700884,1315.90787834504
Germany,DEU,1962,74025784,69.7992195121951,2.84327019799061,1430.52095516263
Germany,DEU,1963,74714353,69.9140731707317,2.9669597758771,1502.15452905146
Germany,DEU,1964,75318337,70.4355609756098,2.33573581177832,1637.45522773672
Germany,DEU,1965,75963695,70.4103658536585,3.24231923668133,1774.1986904555
Germany,DEU,1966,76600311,70.5215853658537,3.53306035477689,1870.80540291774
Germany,DEU,1967,76951336,70.7317317073171,1.79604992213174,1885.61596607874
Germany,DEU,1968,77294314,70.3784634146342,1.470289313277,2025.08159465853
Germany,DEU,1969,77909682,70.2288048780488,1.91267848797595,2281.27598218229
Germany,DEU,1970,78169289,70.4471951219512,3.45024936360894,2771.28310514754
Germany,DEU,1971,78312842,70.676756097561,5.24097448273094,3203.82884836051
Germany,DEU,1972,78688452,70.9067073170732,5.4849331221432,3823.94032602696
Germany,DEU,1973,78936666,71.1128048780488,7.03202399303898,5065.24523302283
Germany,DEU,1974,78967433,71.4189268292683,6.98643109327497,5659.73787773336
Germany,DEU,1975,78673554,71.259243902439,5.91033626324104,6259.20744498342
Germany,DEU,1976,78336950,71.7122195121951,4.24663102299209,6659.16546576017
Germany,DEU,1977,78159814,72.3073170731707,3.73416240635147,7711.10232025365
Germany,DEU,1978,78091820,72.2904146341464,2.71869696123338,9516.78283228907
Germany,DEU,1979,78126350,72.6301707317073,4.04362006473399,11322.3543443813
Germany,DEU,1980,78288576,72.8003170731707,5.44105754460346,12182.7800196802
Germany,DEU,1981,78407907,73.0402195121951,6.34424277746325,10246.4767623188
Germany,DEU,1982,78333366,73.3331463414634,5.24104507228422,9950.05926025365
Germany,DEU,1983,78128282,73.6221463414634,3.29341474302853,9900.48559233526
Germany,DEU,1984,77858685,74.0722926829268,2.40579339931959,9347.29068412377
Germany,DEU,1985,77684873,74.1890975609756,2.0662330121658,9464.11694710857
Germany,DEU,1986,77720436,74.3968292682927,-0.129413360854742,13511.1520027486
Germany,DEU,1987,77839920,74.8070243902439,0.249906108705029,16738.6132825523
Germany,DEU,1988,78144619,74.9987317073171,1.27411894006923,17996.9783507619
Germany,DEU,1989,78751283,75.1915365853659,2.78056955569751,17829.4609524705
Germany,DEU,1990,79433029,75.0856341463415,2.69646824292392,22385.6778250275
Germany,DEU,1991,80013896,75.319512195122,4.04703259753466,23443.3350818536
